day;month;year;cases;deaths;countriesAndTerritories
03;01;2020;0;0;Hungary
04;01;2020;0;0;Hungary
05;01;2020;0;0;Hungary
06;01;2020;0;0;Hungary
07;01;2020;0;0;Hungary
08;01;2020;0;0;Hungary
09;01;2020;0;0;Hungary
10;01;2020;0;0;Hungary
11;01;2020;0;0;Hungary
12;01;2020;0;0;Hungary
13;01;2020;0;0;Hungary
14;01;2020;0;0;Hungary
15;01;2020;0;0;Hungary
16;01;2020;0;0;Hungary
17;01;2020;0;0;Hungary
18;01;2020;0;0;Hungary
19;01;2020;0;0;Hungary
20;01;2020;0;0;Hungary
21;01;2020;0;0;Hungary
22;01;2020;0;0;Hungary
23;01;2020;0;0;Hungary
24;01;2020;0;0;Hungary
25;01;2020;0;0;Hungary
26;01;2020;0;0;Hungary
27;01;2020;0;0;Hungary
28;01;2020;0;0;Hungary
29;01;2020;0;0;Hungary
30;01;2020;0;0;Hungary
31;01;2020;0;0;Hungary
01;02;2020;0;0;Hungary
02;02;2020;0;0;Hungary
03;02;2020;0;0;Hungary
04;02;2020;0;0;Hungary
05;02;2020;0;0;Hungary
06;02;2020;0;0;Hungary
07;02;2020;0;0;Hungary
08;02;2020;0;0;Hungary
09;02;2020;0;0;Hungary
10;02;2020;0;0;Hungary
11;02;2020;0;0;Hungary
12;02;2020;0;0;Hungary
13;02;2020;0;0;Hungary
14;02;2020;0;0;Hungary
15;02;2020;0;0;Hungary
16;02;2020;0;0;Hungary
17;02;2020;0;0;Hungary
18;02;2020;0;0;Hungary
19;02;2020;0;0;Hungary
20;02;2020;0;0;Hungary
21;02;2020;0;0;Hungary
22;02;2020;0;0;Hungary
23;02;2020;0;0;Hungary
24;02;2020;0;0;Hungary
25;02;2020;0;0;Hungary
26;02;2020;0;0;Hungary
27;02;2020;0;0;Hungary
28;02;2020;0;0;Hungary
29;02;2020;0;0;Hungary
01;03;2020;0;0;Hungary
02;03;2020;0;0;Hungary
03;03;2020;0;0;Hungary
04;03;2020;0;0;Hungary
05;03;2020;2;0;Hungary
06;03;2020;0;0;Hungary
07;03;2020;2;0;Hungary
08;03;2020;3;0;Hungary
09;03;2020;1;0;Hungary
10;03;2020;1;0;Hungary
11;03;2020;3;0;Hungary
12;03;2020;1;0;Hungary
13;03;2020;3;0;Hungary
14;03;2020;9;0;Hungary
15;03;2020;6;0;Hungary
16;03;2020;8;1;Hungary
17;03;2020;11;0;Hungary
18;03;2020;0;0;Hungary
19;03;2020;23;0;Hungary
20;03;2020;12;0;Hungary
21;03;2020;18;3;Hungary
22;03;2020;28;0;Hungary
23;03;2020;36;3;Hungary
24;03;2020;20;1;Hungary
25;03;2020;39;2;Hungary
26;03;2020;35;0;Hungary
27;03;2020;39;0;Hungary
28;03;2020;43;1;Hungary
29;03;2020;65;2;Hungary
30;03;2020;39;2;Hungary
31;03;2020;45;1;Hungary
01;04;2020;33;4;Hungary
02;04;2020;60;1;Hungary
03;04;2020;38;5;Hungary
04;04;2020;55;6;Hungary
05;04;2020;55;2;Hungary
06;04;2020;11;4;Hungary
07;04;2020;73;9;Hungary
08;04;2020;78;11;Hungary
09;04;2020;85;8;Hungary
10;04;2020;210;11;Hungary
11;04;2020;120;8;Hungary
12;04;2020;100;14;Hungary
13;04;2020;48;10;Hungary
14;04;2020;54;13;Hungary
15;04;2020;67;12;Hungary
16;04;2020;73;8;Hungary
17;04;2020;111;14;Hungary
18;04;2020;71;16;Hungary
19;04;2020;82;17;Hungary
20;04;2020;68;10;Hungary
21;04;2020;114;14;Hungary
22;04;2020;70;12;Hungary
23;04;2020;116;0;Hungary
24;04;2020;99;25;Hungary
25;04;2020;60;12;Hungary
26;04;2020;57;10;Hungary
27;04;2020;83;8;Hungary
28;04;2020;66;11;Hungary
29;04;2020;78;9;Hungary
30;04;2020;48;12;Hungary
01;05;2020;88;11;Hungary
02;05;2020;79;12;Hungary
03;05;2020;56;5;Hungary
04;05;2020;37;11;Hungary
05;05;2020;30;12;Hungary
06;05;2020;46;10;Hungary
07;05;2020;39;10;Hungary
08;05;2020;28;9;Hungary
09;05;2020;35;13;Hungary
10;05;2020;50;8;Hungary
11;05;2020;21;8;Hungary
12;05;2020;29;4;Hungary
13;05;2020;28;5;Hungary
14;05;2020;39;6;Hungary
15;05;2020;37;6;Hungary
16;05;2020;56;6;Hungary
17;05;2020;36;3;Hungary
18;05;2020;26;11;Hungary
19;05;2020;21;5;Hungary
20;05;2020;42;3;Hungary
21;05;2020;43;3;Hungary
22;05;2020;37;3;Hungary
23;05;2020;35;6;Hungary
24;05;2020;28;4;Hungary
25;05;2020;15;5;Hungary
26;05;2020;15;8;Hungary
27;05;2020;22;6;Hungary
28;05;2020;23;4;Hungary
29;05;2020;25;8;Hungary
30;05;2020;0;0;Hungary
31;05;2020;26;7;Hungary
01;06;2020;9;2;Hungary
02;06;2020;45;6;Hungary
03;06;2020;10;2;Hungary
04;06;2020;0;0;Hungary
05;06;2020;23;5;Hungary
06;06;2020;16;3;Hungary
07;06;2020;0;0;Hungary
08;06;2020;0;0;Hungary
09;06;2020;44;6;Hungary
10;06;2020;3;2;Hungary
11;06;2020;10;1;Hungary
12;06;2020;12;2;Hungary
13;06;2020;14;2;Hungary
14;06;2020;11;4;Hungary
15;06;2020;12;4;Hungary
16;06;2020;1;2;Hungary
17;06;2020;1;2;Hungary
18;06;2020;1;1;Hungary
19;06;2020;2;0;Hungary
20;06;2020;5;2;Hungary
21;06;2020;8;0;Hungary
22;06;2020;8;2;Hungary
23;06;2020;5;1;Hungary
24;06;2020;0;0;Hungary
25;06;2020;7;3;Hungary
26;06;2020;9;1;Hungary
27;06;2020;4;1;Hungary
28;06;2020;11;0;Hungary
29;06;2020;4;3;Hungary
30;06;2020;3;4;Hungary
01;07;2020;10;0;Hungary
02;07;2020;2;1;Hungary
03;07;2020;9;1;Hungary
04;07;2020;6;1;Hungary
05;07;2020;11;1;Hungary
06;07;2020;0;0;Hungary
07;07;2020;6;0;Hungary
08;07;2020;16;0;Hungary
09;07;2020;5;0;Hungary
10;07;2020;10;2;Hungary
11;07;2020;3;2;Hungary
12;07;2020;6;2;Hungary
13;07;2020;5;0;Hungary
14;07;2020;13;0;Hungary
15;07;2020;16;0;Hungary
16;07;2020;0;0;Hungary
17;07;2020;16;0;Hungary
18;07;2020;14;0;Hungary
19;07;2020;22;1;Hungary
20;07;2020;18;0;Hungary
21;07;2020;14;0;Hungary
22;07;2020;19;0;Hungary
23;07;2020;14;0;Hungary
24;07;2020;18;0;Hungary
25;07;2020;26;0;Hungary
26;07;2020;11;0;Hungary
27;07;2020;13;0;Hungary
28;07;2020;8;0;Hungary
29;07;2020;9;0;Hungary
30;07;2020;19;0;Hungary
31;07;2020;21;0;Hungary
01;08;2020;0;0;Hungary
02;08;2020;21;1;Hungary
03;08;2020;9;0;Hungary
04;08;2020;9;0;Hungary
05;08;2020;9;1;Hungary
06;08;2020;11;1;Hungary
07;08;2020;33;1;Hungary
08;08;2020;24;2;Hungary
09;08;2020;32;0;Hungary
10;08;2020;43;0;Hungary
11;08;2020;35;3;Hungary
12;08;2020;15;0;Hungary
13;08;2020;22;0;Hungary
14;08;2020;45;2;Hungary
15;08;2020;40;0;Hungary
16;08;2020;24;0;Hungary
17;08;2020;39;1;Hungary
18;08;2020;54;1;Hungary
19;08;2020;0;0;Hungary
20;08;2020;32;0;Hungary
21;08;2020;44;0;Hungary
22;08;2020;52;2;Hungary
23;08;2020;35;0;Hungary
24;08;2020;22;2;Hungary
25;08;2020;36;0;Hungary
26;08;2020;24;1;Hungary
27;08;2020;73;0;Hungary
28;08;2020;91;0;Hungary
29;08;2020;132;0;Hungary
30;08;2020;158;0;Hungary
31;08;2020;292;0;Hungary
01;09;2020;178;1;Hungary
02;09;2020;118;1;Hungary
03;09;2020;365;3;Hungary
04;09;2020;301;1;Hungary
05;09;2020;459;1;Hungary
06;09;2020;510;3;Hungary
07;09;2020;495;0;Hungary
08;09;2020;576;1;Hungary
09;09;2020;341;1;Hungary
10;09;2020;411;2;Hungary
11;09;2020;476;2;Hungary
12;09;2020;718;1;Hungary
13;09;2020;916;2;Hungary
14;09;2020;484;4;Hungary
15;09;2020;844;5;Hungary
16;09;2020;1307;12;Hungary
17;09;2020;710;9;Hungary
18;09;2020;941;6;Hungary
19;09;2020;809;6;Hungary
20;09;2020;1070;8;Hungary
21;09;2020;876;3;Hungary
22;09;2020;633;8;Hungary
23;09;2020;951;8;Hungary
24;09;2020;750;7;Hungary
25;09;2020;927;9;Hungary
26;09;2020;950;12;Hungary
27;09;2020;937;6;Hungary
28;09;2020;702;13;Hungary
29;09;2020;851;8;Hungary
30;09;2020;894;8;Hungary
01;10;2020;848;16;Hungary
02;10;2020;1322;17;Hungary
03;10;2020;1086;14;Hungary
04;10;2020;858;10;Hungary
05;10;2020;905;11;Hungary
06;10;2020;818;20;Hungary
07;10;2020;816;24;Hungary
08;10;2020;932;21;Hungary
09;10;2020;1176;15;Hungary
10;10;2020;1374;20;Hungary
11;10;2020;1068;21;Hungary
12;10;2020;913;14;Hungary
13;10;2020;1285;28;Hungary
14;10;2020;920;27;Hungary
15;10;2020;950;29;Hungary
16;10;2020;1293;33;Hungary
17;10;2020;1791;24;Hungary
18;10;2020;1474;33;Hungary
19;10;2020;1478;31;Hungary
20;10;2020;989;38;Hungary
21;10;2020;1423;48;Hungary
22;10;2020;2032;46;Hungary
23;10;2020;2066;47;Hungary
24;10;2020;1820;38;Hungary
25;10;2020;3149;35;Hungary
26;10;2020;2316;47;Hungary
27;10;2020;2079;63;Hungary
28;10;2020;2291;43;Hungary
29;10;2020;2194;56;Hungary
30;10;2020;3286;65;Hungary
31;10;2020;3908;51;Hungary
01;11;2020;3878;69;Hungary
02;11;2020;3581;70;Hungary
03;11;2020;3989;84;Hungary
04;11;2020;4219;90;Hungary
05;11;2020;3928;84;Hungary
06;11;2020;4709;103;Hungary
07;11;2020;5318;107;Hungary
08;11;2020;4673;81;Hungary
09;11;2020;5162;55;Hungary
10;11;2020;4140;103;Hungary
11;11;2020;3945;101;Hungary
12;11;2020;3927;87;Hungary
13;11;2020;5097;99;Hungary
14;11;2020;4836;107;Hungary
15;11;2020;4238;107;Hungary
16;11;2020;6495;93;Hungary
17;11;2020;5203;91;Hungary
18;11;2020;4290;99;Hungary
19;11;2020;4512;92;Hungary
20;11;2020;4440;96;Hungary
21;11;2020;4397;121;Hungary
22;11;2020;4320;111;Hungary
23;11;2020;3334;91;Hungary
24;11;2020;3929;117;Hungary
25;11;2020;3806;106;Hungary
26;11;2020;6360;115;Hungary
27;11;2020;6393;135;Hungary
28;11;2020;6268;152;Hungary
29;11;2020;6819;156;Hungary
30;11;2020;5595;151;Hungary
01;12;2020;3951;154;Hungary
02;12;2020;4136;165;Hungary
03;12;2020;6635;182;Hungary
04;12;2020;6212;189;Hungary
05;12;2020;5525;193;Hungary
06;12;2020;6697;162;Hungary
07;12;2020;3870;116;Hungary
08;12;2020;2219;136;Hungary
09;12;2020;3221;160;Hungary
10;12;2020;5415;171;Hungary
11;12;2020;6197;171;Hungary
12;12;2020;5047;162;Hungary
13;12;2020;4153;181;Hungary
14;12;2020;3470;165;Hungary
15;12;2020;1893;107;Hungary
16;12;2020;2804;144;Hungary
17;12;2020;2982;157;Hungary
18;12;2020;4428;187;Hungary
19;12;2020;4045;189;Hungary
20;12;2020;2967;185;Hungary
21;12;2020;2141;193;Hungary
22;12;2020;1238;170;Hungary
23;12;2020;1894;154;Hungary
24;12;2020;3292;113;Hungary
25;12;2020;2610;104;Hungary
26;12;2020;1198;118;Hungary
27;12;2020;698;96;Hungary
28;12;2020;609;114;Hungary
29;12;2020;902;131;Hungary
30;12;2020;1972;137;Hungary
31;12;2020;2971;108;Hungary
01;01;2021;2764;130;Hungary
02;01;2021;1410;114;Hungary
03;01;2021;1307;103;Hungary
04;01;2021;856;93;Hungary
05;01;2021;870;103;Hungary
06;01;2021;2047;118;Hungary
07;01;2021;3068;127;Hungary
08;01;2021;2907;115;Hungary
09;01;2021;2716;114;Hungary
10;01;2021;1778;94;Hungary
11;01;2021;1419;77;Hungary
12;01;2021;696;128;Hungary
13;01;2021;1358;95;Hungary
14;01;2021;1926;118;Hungary
15;01;2021;1513;111;Hungary
16;01;2021;1438;87;Hungary
17;01;2021;1241;77;Hungary
18;01;2021;875;68;Hungary
19;01;2021;573;111;Hungary
20;01;2021;976;95;Hungary
21;01;2021;1410;98;Hungary
22;01;2021;1311;98;Hungary
23;01;2021;1344;93;Hungary
24;01;2021;1257;64;Hungary
25;01;2021;844;56;Hungary
26;01;2021;459;89;Hungary
27;01;2021;1004;85;Hungary
28;01;2021;1569;93;Hungary
29;01;2021;1459;83;Hungary
30;01;2021;1370;89;Hungary
31;01;2021;1307;61;Hungary
01;02;2021;1124;54;Hungary
02;02;2021;578;78;Hungary
03;02;2021;1048;83;Hungary
04;02;2021;1652;93;Hungary
05;02;2021;1576;98;Hungary
06;02;2021;1561;96;Hungary
07;02;2021;1370;64;Hungary
08;02;2021;1160;65;Hungary
09;02;2021;1079;94;Hungary
10;02;2021;1279;98;Hungary
11;02;2021;1862;97;Hungary
12;02;2021;1860;99;Hungary
13;02;2021;2020;93;Hungary
14;02;2021;1707;70;Hungary
15;02;2021;1337;46;Hungary
16;02;2021;823;85;Hungary
17;02;2021;1548;94;Hungary
18;02;2021;2853;104;Hungary
19;02;2021;3093;110;Hungary
